person,date,category,amount,monthly_income,description,payment_mode
Rahul Kumar,2023-01-05,Health,1657.0,20000.0,,UPI
Sneha Kapoor,2023-01-05,Health,985.0,18000.0,,Card
Vivek Menon,2023-01-05,Rent,5184.0,18000.0,,Card
Ishita Roy,2023-01-05,Food,660.0,22000.0,,Cash
Siddharth Rao,2023-01-05,Groceries,1570.0,30000.0,,NetBanking
Swathi Reddy,2023-01-06,Utilities,133.0,25000.0,,Cash
Divya Yeddu,2023-01-06,Rent,7989.0,25000.0,,NetBanking
Priya Iyer,2023-01-06,Miscellaneous,332.0,18000.0,,Card
Ishita Roy,2023-01-06,Miscellaneous,1457.0,22000.0,,NetBanking
Sneha Kapoor,2023-01-06,Travel,370.0,18000.0,,Cash
Rohan Verma,2023-01-06,Miscellaneous,386.0,20000.0,,NetBanking
Swathi Reddy,2023-01-06,Health,2040.0,25000.0,,Cash
Harsha Patel,2023-01-06,Utilities,2048.0,30000.0,,Card
Divya Yeddu,2023-01-06,Utilities,1380.0,25000.0,,UPI
Arjun Nair,2023-01-06,Miscellaneous,1594.0,22000.0,,Cash
Ananya Singh,2023-01-06,Groceries,1204.0,30000.0,,Cash
Rohan Verma,2023-01-06,Groceries,2422.0,20000.0,,UPI
Arjun Nair,2023-01-06,Health,2428.0,22000.0,,NetBanking
Shreya Sen,2023-01-06,Travel,577.0,18000.0,,UPI
Priya Iyer,2023-01-06,Study Materials,1263.0,18000.0,,UPI
Karthik Rao,2023-01-07,Groceries,2436.0,18000.0,,Card
Harini Bhat,2023-01-07,Groceries,727.0,30000.0,,UPI
Amit Sharma,2023-01-07,Health,2135.0,20000.0,,Cash
Vikram Joshi,2023-01-07,Utilities,1568.0,25000.0,,Cash
Rahul Kumar,2023-01-07,Groceries,1591.0,20000.0,,UPI
Varun Gupta,2023-01-07,Entertainment,445.0,20000.0,,NetBanking
Harini Bhat,2023-01-07,Utilities,1452.0,30000.0,,Card
Harsha Patel,2023-01-07,Travel,522.0,30000.0,,NetBanking
Pooja Mehta,2023-01-07,Health,773.0,30000.0,,Card
Arjun Nair,2023-01-08,Rent,8108.0,22000.0,,Cash
Swathi Reddy,2023-01-08,Travel,157.0,25000.0,,NetBanking
Aditya Pillai,2023-01-08,Groceries,514.0,20000.0,,UPI
Shreya Sen,2023-01-08,Rent,10048.0,18000.0,,Card
Vivek Menon,2023-01-08,Health,1057.0,18000.0,,Card
Ishita Roy,2023-01-08,Travel,240.0,22000.0,,Cash
Vikram Joshi,2023-01-09,Rent,7823.0,25000.0,,Card
Vikram Joshi,2023-01-09,Utilities,1364.0,25000.0,,NetBanking
Vikram Joshi,2023-01-09,Health,241.0,25000.0,,Cash
Ananya Singh,2023-01-09,Travel,537.0,30000.0,,Card
Ishita Roy,2023-01-09,Health,1876.0,22000.0,,Cash
Sneha Kapoor,2023-01-09,Miscellaneous,985.0,18000.0,,Cash
Pooja Mehta,2023-01-09,Health,1415.0,30000.0,,Card
Siddharth Rao,2023-01-10,Groceries,244.0,30000.0,,NetBanking
Varun Gupta,2023-01-10,Miscellaneous,1973.0,20000.0,,UPI
Divya Yeddu,2023-01-10,Food,376.0,25000.0,,NetBanking
Vivek Menon,2023-01-10,Rent,9285.0,18000.0,,UPI
Varun Gupta,2023-01-10,Utilities,259.0,20000.0,,NetBanking
Megha Das,2023-01-10,Entertainment,868.0,25000.0,,Cash
Divya Yeddu,2023-01-10,Health,2468.0,25000.0,,Card
Krishna Rao,2023-01-11,Travel,176.0,30000.0,,NetBanking
Swathi Reddy,2023-01-11,Groceries,1802.0,25000.0,,UPI
Harini Bhat,2023-01-11,Groceries,928.0,30000.0,,Card
Krishna Rao,2023-01-11,Food,181.0,30000.0,,Cash
Pooja Mehta,2023-01-11,Health,286.0,30000.0,,Card
Krishna Rao,2023-01-11,Groceries,1731.0,30000.0,,UPI
Tanvi Jain,2023-01-12,Entertainment,1648.0,30000.0,,UPI
Varun Gupta,2023-01-12,Food,116.0,20000.0,,UPI
Megha Das,2023-01-12,Travel,175.0,25000.0,,Cash
Rahul Kumar,2023-01-12,Food,587.0,20000.0,,Cash
Vikram Joshi,2023-01-12,Travel,349.0,25000.0,,Card
Swathi Reddy,2023-01-12,Miscellaneous,1675.0,25000.0,,Cash
Harsha Patel,2023-01-12,Study Materials,648.0,30000.0,,UPI
Karthik Rao,2023-01-13,Study Materials,1128.0,18000.0,,Card
Ishita Roy,2023-01-13,Health,1663.0,22000.0,,NetBanking
Vikram Joshi,2023-01-13,Miscellaneous,237.0,25000.0,,Cash
Siddharth Rao,2023-01-13,Travel,592.0,30000.0,,NetBanking
Varun Gupta,2023-01-13,Food,490.0,20000.0,,Cash
Swathi Reddy,2023-01-13,Health,1154.0,25000.0,,Cash
Ananya Singh,2023-01-13,Entertainment,1396.0,30000.0,,UPI
Rahul Kumar,2023-01-13,Groceries,618.0,20000.0,,Cash
Nisha Sharma,2023-01-13,Miscellaneous,1519.0,18000.0,,Card
Varun Gupta,2023-01-13,Health,1153.0,20000.0,,Cash
Vikram Joshi,2023-01-13,Entertainment,2350.0,25000.0,,Cash
Sneha Kapoor,2023-01-13,Travel,226.0,18000.0,,Cash
Tanvi Jain,2023-01-14,Groceries,2291.0,30000.0,,UPI
Varun Gupta,2023-01-14,Miscellaneous,1429.0,20000.0,,UPI
Harini Bhat,2023-01-14,Travel,79.0,30000.0,,UPI
Arjun Nair,2023-01-14,Study Materials,1367.0,22000.0,,UPI
Varun Gupta,2023-01-14,Study Materials,656.0,20000.0,,Card
Ananya Singh,2023-01-14,Rent,11196.0,30000.0,,NetBanking
Vivek Menon,2023-01-14,Travel,540.0,18000.0,,NetBanking
Varun Gupta,2023-01-14,Utilities,650.0,20000.0,,UPI
Shreya Sen,2023-01-14,Health,1121.0,18000.0,,Cash
Karthik Rao,2023-01-14,Food,123.0,18000.0,,NetBanking
Divya Yeddu,2023-01-14,Miscellaneous,1642.0,25000.0,,UPI
Amit Sharma,2023-01-15,Utilities,630.0,20000.0,,NetBanking
Divya Yeddu,2023-01-15,Study Materials,915.0,25000.0,,Card
Nisha Sharma,2023-01-15,Health,1730.0,18000.0,,NetBanking
Arjun Nair,2023-01-15,Study Materials,420.0,22000.0,,Cash
Pooja Mehta,2023-01-15,Travel,334.0,30000.0,,NetBanking
Sneha Kapoor,2023-01-15,Food,568.0,18000.0,,NetBanking
Swathi Reddy,2023-01-15,Health,868.0,25000.0,,UPI
Priya Iyer,2023-01-15,Study Materials,1105.0,18000.0,,UPI
Priya Iyer,2023-01-15,Groceries,464.0,18000.0,,Cash
Amit Sharma,2023-01-15,Miscellaneous,1709.0,20000.0,,NetBanking
Vivek Menon,2023-01-16,Groceries,2397.0,18000.0,,Card
Ishita Roy,2023-01-16,Study Materials,659.0,22000.0,,NetBanking
Pooja Mehta,2023-01-16,Health,1107.0,30000.0,,NetBanking
Vivek Menon,2023-01-16,Rent,7510.0,18000.0,,Cash
Megha Das,2023-01-16,Utilities,1459.0,25000.0,,UPI
Amit Sharma,2023-01-16,Travel,195.0,20000.0,,NetBanking
Siddharth Rao,2023-01-16,Study Materials,738.0,30000.0,,UPI
Ishita Roy,2023-01-17,Rent,6432.0,22000.0,,Cash
Priya Iyer,2023-01-17,Groceries,194.0,18000.0,,Card
Rahul Kumar,2023-01-17,Food,458.0,20000.0,,NetBanking
Ishita Roy,2023-01-17,Health,1433.0,22000.0,,Card
Ishita Roy,2023-01-17,Food,214.0,22000.0,,NetBanking
Divya Yeddu,2023-01-17,Utilities,963.0,25000.0,,UPI
Siddharth Rao,2023-01-17,Miscellaneous,533.0,30000.0,,Card
Swathi Reddy,2023-01-17,Food,678.0,25000.0,,UPI
Aditya Pillai,2023-01-17,Study Materials,486.0,20000.0,,Card
Aditya Pillai,2023-01-17,Study Materials,1497.0,20000.0,,UPI
Varun Gupta,2023-01-17,Groceries,1432.0,20000.0,,Card
Siddharth Rao,2023-01-17,Travel,229.0,30000.0,,UPI
Arjun Nair,2023-01-18,Rent,8734.0,22000.0,,UPI
Vivek Menon,2023-01-18,Utilities,2306.0,18000.0,,NetBanking
Sneha Kapoor,2023-01-18,Groceries,2159.0,18000.0,,UPI
Priya Iyer,2023-01-18,Health,1644.0,18000.0,,UPI
Vivek Menon,2023-01-19,Travel,403.0,18000.0,,Card
Harini Bhat,2023-01-19,Study Materials,565.0,30000.0,,Cash
Swathi Reddy,2023-01-19,Groceries,1348.0,25000.0,,NetBanking
Ishita Roy,2023-01-19,Food,504.0,22000.0,,Cash
Ishita Roy,2023-01-19,Study Materials,659.0,22000.0,,UPI
Ananya Singh,2023-01-19,Travel,397.0,30000.0,,Card
Shreya Sen,2023-01-19,Rent,7407.0,18000.0,,Cash
Ishita Roy,2023-01-20,Entertainment,870.0,22000.0,,NetBanking
Vivek Menon,2023-01-20,Food,604.0,18000.0,,UPI
Ananya Singh,2023-01-20,Study Materials,1453.0,30000.0,,UPI
Ishita Roy,2023-01-20,Rent,7943.0,22000.0,,NetBanking
Harsha Patel,2023-01-20,Health,2198.0,30000.0,,UPI
Swathi Reddy,2023-01-20,Miscellaneous,869.0,25000.0,,Cash
Priya Iyer,2023-01-20,Travel,319.0,18000.0,,Card
Rahul Kumar,2023-01-21,Groceries,1400.0,20000.0,,UPI
Rahul Kumar,2023-01-21,Study Materials,385.0,20000.0,,Cash
Swathi Reddy,2023-01-21,Utilities,1915.0,25000.0,,NetBanking
Harsha Patel,2023-01-21,Travel,197.0,30000.0,,Cash
Rohan Verma,2023-01-21,Rent,4824.0,20000.0,,NetBanking
Krishna Rao,2023-01-21,Health,1034.0,30000.0,,Cash
Ishita Roy,2023-01-21,Groceries,575.0,22000.0,,UPI
Shreya Sen,2023-01-21,Utilities,219.0,18000.0,,UPI
Karthik Rao,2023-01-21,Travel,205.0,18000.0,,Card
Siddharth Rao,2023-01-22,Study Materials,312.0,30000.0,,Card
Ishita Roy,2023-01-22,Rent,6043.0,22000.0,,Cash
Harsha Patel,2023-01-22,Health,2165.0,30000.0,,UPI
Vivek Menon,2023-01-22,Rent,6074.0,18000.0,,Card
Ishita Roy,2023-01-22,Food,338.0,22000.0,,Card
Krishna Rao,2023-01-22,Entertainment,138.0,30000.0,,Card
Priya Iyer,2023-01-22,Food,241.0,18000.0,,UPI
Rohan Verma,2023-01-23,Groceries,2096.0,20000.0,,NetBanking
Arjun Nair,2023-01-23,Entertainment,670.0,22000.0,,Cash
Divya Yeddu,2023-01-23,Food,698.0,25000.0,,Card
Priya Iyer,2023-01-23,Utilities,2458.0,18000.0,,Card
Tanvi Jain,2023-01-24,Miscellaneous,585.0,30000.0,,Cash
Rahul Kumar,2023-01-24,Groceries,226.0,20000.0,,Card
Divya Yeddu,2023-01-24,Utilities,1849.0,25000.0,,Card
Amit Sharma,2023-01-24,Groceries,591.0,20000.0,,Card
Pooja Mehta,2023-01-24,Food,126.0,30000.0,,UPI
Shreya Sen,2023-01-24,Miscellaneous,1858.0,18000.0,,Card
Amit Sharma,2023-01-24,Food,404.0,20000.0,,NetBanking
Aditya Pillai,2023-01-25,Entertainment,2116.0,20000.0,,NetBanking
Aditya Pillai,2023-01-25,Utilities,1996.0,20000.0,,NetBanking
Rahul Kumar,2023-01-25,Food,541.0,20000.0,,UPI
Siddharth Rao,2023-01-25,Utilities,1369.0,30000.0,,Cash
Divya Yeddu,2023-01-25,Food,671.0,25000.0,,Card
Nisha Sharma,2023-01-25,Rent,10889.0,18000.0,,NetBanking
Vikram Joshi,2023-01-26,Rent,6940.0,25000.0,,UPI
Swathi Reddy,2023-01-26,Entertainment,898.0,25000.0,,Cash
Ishita Roy,2023-01-26,Food,216.0,22000.0,,Card
Rohan Verma,2023-01-26,Groceries,1101.0,20000.0,,UPI
Siddharth Rao,2023-01-26,Health,1157.0,30000.0,,NetBanking
Harini Bhat,2023-01-26,Miscellaneous,732.0,30000.0,,NetBanking
Priya Iyer,2023-01-26,Groceries,249.0,18000.0,,NetBanking
Vivek Menon,2023-01-26,Groceries,192.0,18000.0,,Card
Karthik Rao,2023-01-26,Health,202.0,18000.0,,UPI
Rohan Verma,2023-01-26,Health,2480.0,20000.0,,NetBanking
Karthik Rao,2023-01-27,Health,729.0,18000.0,,Card
Rahul Kumar,2023-01-27,Utilities,729.0,20000.0,,UPI
Rohan Verma,2023-01-27,Rent,6827.0,20000.0,,UPI
Pooja Mehta,2023-01-27,Entertainment,1129.0,30000.0,,UPI
Rohan Verma,2023-01-27,Health,123.0,20000.0,,UPI
Amit Sharma,2023-01-27,Miscellaneous,298.0,20000.0,,Cash
Sneha Kapoor,2023-01-27,Travel,329.0,18000.0,,Card
Vikram Joshi,2023-01-27,Miscellaneous,2098.0,25000.0,,Card
Ishita Roy,2023-01-27,Miscellaneous,308.0,22000.0,,NetBanking
Vikram Joshi,2023-01-28,Entertainment,1160.0,25000.0,,NetBanking
Megha Das,2023-01-28,Rent,10324.0,25000.0,,UPI
Priya Iyer,2023-01-28,Utilities,1180.0,18000.0,,UPI
Varun Gupta,2023-01-28,Entertainment,533.0,20000.0,,Cash
Pooja Mehta,2023-01-28,Travel,320.0,30000.0,,NetBanking
Sneha Kapoor,2023-01-29,Groceries,1492.0,18000.0,,Card
Vikram Joshi,2023-01-29,Utilities,2206.0,25000.0,,Card
Megha Das,2023-01-29,Health,925.0,25000.0,,NetBanking
Sneha Kapoor,2023-01-29,Entertainment,195.0,18000.0,,Cash
Ananya Singh,2023-01-29,Health,2153.0,30000.0,,Card
Karthik Rao,2023-01-29,Food,259.0,18000.0,,Cash
Aditya Pillai,2023-01-29,Utilities,655.0,20000.0,,UPI
Megha Das,2023-01-29,Entertainment,920.0,25000.0,,NetBanking
Nisha Sharma,2023-01-30,Utilities,1750.0,18000.0,,NetBanking
Pooja Mehta,2023-01-30,Entertainment,2339.0,30000.0,,NetBanking
Ishita Roy,2023-01-30,Rent,11492.0,22000.0,,Card
Vikram Joshi,2023-01-30,Health,2266.0,25000.0,,Cash
Ananya Singh,2023-01-30,Travel,392.0,30000.0,,UPI
Rohan Verma,2023-01-31,Miscellaneous,165.0,20000.0,,Card
Siddharth Rao,2023-01-31,Groceries,2499.0,30000.0,,UPI
Tanvi Jain,2023-01-31,Travel,219.0,30000.0,,UPI
Pooja Mehta,2023-01-31,Miscellaneous,2490.0,30000.0,,Card
Swathi Reddy,2023-02-01,Utilities,740.0,25000.0,,Card
Sneha Kapoor,2023-02-01,Rent,11978.0,18000.0,,NetBanking
Priya Iyer,2023-02-01,Miscellaneous,1928.0,18000.0,,NetBanking
Amit Sharma,2023-02-01,Utilities,435.0,20000.0,,UPI
Divya Yeddu,2023-02-01,Utilities,1303.0,25000.0,,Card
Nisha Sharma,2023-02-01,Entertainment,1609.0,18000.0,,NetBanking
Vikram Joshi,2023-02-01,Utilities,259.0,25000.0,,NetBanking
Priya Iyer,2023-02-01,Travel,292.0,18000.0,,Cash
Krishna Rao,2023-02-02,Groceries,1052.0,30000.0,,UPI
Siddharth Rao,2023-02-02,Utilities,1972.0,30000.0,,Card
Rahul Kumar,2023-02-02,Utilities,1424.0,20000.0,,UPI
Shreya Sen,2023-02-02,Study Materials,371.0,18000.0,,NetBanking
Harsha Patel,2023-02-02,Miscellaneous,1842.0,30000.0,,Cash
Sneha Kapoor,2023-02-02,Health,129.0,18000.0,,Card
Krishna Rao,2023-02-02,Entertainment,2282.0,30000.0,,Card
Swathi Reddy,2023-02-02,Entertainment,812.0,25000.0,,NetBanking
Vikram Joshi,2023-02-02,Food,642.0,25000.0,,Cash
Pooja Mehta,2023-02-02,Rent,11363.0,30000.0,,Card
Siddharth Rao,2023-02-02,Miscellaneous,556.0,30000.0,,UPI
Rahul Kumar,2023-02-02,Food,548.0,20000.0,,Card
Nisha Sharma,2023-02-02,Study Materials,1639.0,18000.0,,UPI
Harini Bhat,2023-02-02,Food,168.0,30000.0,,NetBanking
Sneha Kapoor,2023-02-02,Health,1084.0,18000.0,,Card
Divya Yeddu,2023-02-02,Travel,162.0,25000.0,,Card
Pooja Mehta,2023-02-03,Groceries,330.0,30000.0,,NetBanking
Pooja Mehta,2023-02-03,Study Materials,1136.0,30000.0,,UPI
Siddharth Rao,2023-02-03,Rent,11594.0,30000.0,,UPI
Varun Gupta,2023-02-03,Food,263.0,20000.0,,Cash
Ishita Roy,2023-02-03,Study Materials,1586.0,22000.0,,Card
Priya Iyer,2023-02-03,Rent,8452.0,18000.0,,NetBanking
Ananya Singh,2023-02-03,Health,405.0,30000.0,,NetBanking
Ishita Roy,2023-02-03,Utilities,1626.0,22000.0,,UPI
Arjun Nair,2023-02-03,Utilities,223.0,22000.0,,Cash
Priya Iyer,2023-02-04,Utilities,2471.0,18000.0,,UPI
Krishna Rao,2023-02-04,Utilities,1940.0,30000.0,,Cash
Sneha Kapoor,2023-02-04,Food,207.0,18000.0,,UPI
Megha Das,2023-02-05,Rent,4140.0,25000.0,,NetBanking
Nisha Sharma,2023-02-05,Groceries,1029.0,18000.0,,NetBanking
Amit Sharma,2023-02-05,Food,297.0,20000.0,,UPI
Ananya Singh,2023-02-05,Travel,315.0,30000.0,,UPI
Nisha Sharma,2023-02-05,Study Materials,769.0,18000.0,,UPI
Rohan Verma,2023-02-05,Rent,10718.0,20000.0,,NetBanking
Pooja Mehta,2023-02-06,Food,649.0,30000.0,,Card
Harini Bhat,2023-02-06,Entertainment,1731.0,30000.0,,NetBanking
Karthik Rao,2023-02-06,Miscellaneous,991.0,18000.0,,UPI
Vikram Joshi,2023-02-06,Groceries,2211.0,25000.0,,NetBanking
Ishita Roy,2023-02-06,Food,603.0,22000.0,,UPI
Priya Iyer,2023-02-06,Travel,153.0,18000.0,,NetBanking
Shreya Sen,2023-02-06,Travel,216.0,18000.0,,NetBanking
Tanvi Jain,2023-02-06,Study Materials,1648.0,30000.0,,Card
Shreya Sen,2023-02-06,Entertainment,381.0,18000.0,,UPI
Rohan Verma,2023-02-06,Rent,10212.0,20000.0,,UPI
Vivek Menon,2023-02-07,Entertainment,1833.0,18000.0,,UPI
Megha Das,2023-02-07,Miscellaneous,1477.0,25000.0,,Card
Amit Sharma,2023-02-07,Food,235.0,20000.0,,Cash
Megha Das,2023-02-07,Entertainment,304.0,25000.0,,Cash
Sneha Kapoor,2023-02-07,Health,1677.0,18000.0,,UPI
Varun Gupta,2023-02-07,Food,326.0,20000.0,,NetBanking
Varun Gupta,2023-02-07,Food,182.0,20000.0,,UPI
Sneha Kapoor,2023-02-08,Utilities,1427.0,18000.0,,Card
Swathi Reddy,2023-02-08,Study Materials,615.0,25000.0,,UPI
Siddharth Rao,2023-02-08,Food,502.0,30000.0,,NetBanking
Sneha Kapoor,2023-02-08,Health,2014.0,18000.0,,UPI
Swathi Reddy,2023-02-08,Utilities,324.0,25000.0,,NetBanking
Rahul Kumar,2023-02-08,Utilities,1141.0,20000.0,,Card
Swathi Reddy,2023-02-08,Study Materials,1059.0,25000.0,,NetBanking
Rahul Kumar,2023-02-08,Entertainment,1010.0,20000.0,,Card
Rahul Kumar,2023-02-08,Health,1115.0,20000.0,,NetBanking
Aditya Pillai,2023-02-09,Entertainment,1887.0,20000.0,,Cash
Krishna Rao,2023-02-09,Groceries,2499.0,30000.0,,NetBanking
Varun Gupta,2023-02-09,Groceries,2169.0,20000.0,,NetBanking
Divya Yeddu,2023-02-09,Utilities,2241.0,25000.0,,UPI
Pooja Mehta,2023-02-09,Entertainment,2311.0,30000.0,,Cash
Harini Bhat,2023-02-09,Entertainment,516.0,30000.0,,Cash
Sneha Kapoor,2023-02-09,Miscellaneous,897.0,18000.0,,Cash
Nisha Sharma,2023-02-09,Groceries,1951.0,18000.0,,UPI
Karthik Rao,2023-02-09,Food,491.0,18000.0,,UPI
Siddharth Rao,2023-02-09,Rent,5537.0,30000.0,,UPI
Harsha Patel,2023-02-10,Health,1262.0,30000.0,,Card
Ishita Roy,2023-02-10,Food,207.0,22000.0,,NetBanking
Vikram Joshi,2023-02-10,Study Materials,1909.0,25000.0,,Cash
Varun Gupta,2023-02-10,Utilities,2396.0,20000.0,,NetBanking
Nisha Sharma,2023-02-10,Study Materials,502.0,18000.0,,NetBanking
Varun Gupta,2023-02-10,Rent,8609.0,20000.0,,Cash
Ananya Singh,2023-02-10,Study Materials,726.0,30000.0,,Cash
Pooja Mehta,2023-02-10,Study Materials,1915.0,30000.0,,UPI
Rahul Kumar,2023-02-10,Entertainment,1351.0,20000.0,,NetBanking
Rohan Verma,2023-02-10,Miscellaneous,2336.0,20000.0,,Cash
Shreya Sen,2023-02-10,Entertainment,1351.0,18000.0,,NetBanking
Megha Das,2023-02-10,Study Materials,686.0,25000.0,,Card
Sneha Kapoor,2023-02-10,Entertainment,1173.0,18000.0,,UPI
Priya Iyer,2023-02-11,Health,2254.0,18000.0,,UPI
Harsha Patel,2023-02-11,Rent,4689.0,30000.0,,Card
Sneha Kapoor,2023-02-11,Food,611.0,18000.0,,Cash
Harini Bhat,2023-02-11,Groceries,363.0,30000.0,,UPI
Arjun Nair,2023-02-11,Miscellaneous,1329.0,22000.0,,Card
Ananya Singh,2023-02-11,Utilities,1281.0,30000.0,,UPI
Sneha Kapoor,2023-02-11,Rent,5355.0,18000.0,,NetBanking
Megha Das,2023-02-11,Entertainment,934.0,25000.0,,Cash
Shreya Sen,2023-02-11,Travel,522.0,18000.0,,UPI
Karthik Rao,2023-02-12,Food,529.0,18000.0,,UPI
Siddharth Rao,2023-02-12,Study Materials,1806.0,30000.0,,NetBanking
Harsha Patel,2023-02-12,Health,2193.0,30000.0,,Cash
Vikram Joshi,2023-02-12,Miscellaneous,2057.0,25000.0,,Cash
Aditya Pillai,2023-02-12,Travel,458.0,20000.0,,Cash
Siddharth Rao,2023-02-12,Health,1341.0,30000.0,,Card
Vikram Joshi,2023-02-12,Rent,5439.0,25000.0,,UPI
Siddharth Rao,2023-02-12,Travel,498.0,30000.0,,Card
Tanvi Jain,2023-02-12,Study Materials,1615.0,30000.0,,NetBanking
Nisha Sharma,2023-02-12,Utilities,635.0,18000.0,,NetBanking
Harini Bhat,2023-02-12,Groceries,1105.0,30000.0,,Cash
Siddharth Rao,2023-02-12,Travel,305.0,30000.0,,UPI
Arjun Nair,2023-02-13,Food,122.0,22000.0,,Card
Harini Bhat,2023-02-13,Entertainment,2162.0,30000.0,,Card
Swathi Reddy,2023-02-13,Health,2126.0,25000.0,,UPI
Arjun Nair,2023-02-13,Groceries,1500.0,22000.0,,Card
Karthik Rao,2023-02-13,Groceries,772.0,18000.0,,Cash
Krishna Rao,2023-02-13,Groceries,1486.0,30000.0,,NetBanking
Priya Iyer,2023-02-13,Entertainment,1829.0,18000.0,,NetBanking
Ishita Roy,2023-02-13,Groceries,689.0,22000.0,,NetBanking
Shreya Sen,2023-02-13,Groceries,1740.0,18000.0,,Card
Aditya Pillai,2023-02-14,Groceries,1060.0,20000.0,,NetBanking
Karthik Rao,2023-02-14,Health,1658.0,18000.0,,Card
Siddharth Rao,2023-02-14,Food,136.0,30000.0,,UPI
Shreya Sen,2023-02-14,Utilities,2219.0,18000.0,,UPI
Arjun Nair,2023-02-15,Rent,5305.0,22000.0,,NetBanking
Ananya Singh,2023-02-15,Groceries,1865.0,30000.0,,Cash
Megha Das,2023-02-15,Miscellaneous,1592.0,25000.0,,Card
Priya Iyer,2023-02-15,Rent,9512.0,18000.0,,Card
Amit Sharma,2023-02-15,Utilities,1764.0,20000.0,,UPI
Swathi Reddy,2023-02-15,Miscellaneous,1059.0,25000.0,,Cash
Rohan Verma,2023-02-15,Health,1505.0,20000.0,,Card
Nisha Sharma,2023-02-15,Travel,560.0,18000.0,,Cash
Pooja Mehta,2023-02-15,Rent,11891.0,30000.0,,NetBanking
Arjun Nair,2023-02-15,Groceries,1223.0,22000.0,,NetBanking
Shreya Sen,2023-02-15,Entertainment,1322.0,18000.0,,Card
Vivek Menon,2023-02-15,Miscellaneous,2161.0,18000.0,,Card
Ananya Singh,2023-02-15,Travel,247.0,30000.0,,Cash
Priya Iyer,2023-02-16,Utilities,1522.0,18000.0,,NetBanking
Rahul Kumar,2023-02-16,Health,1542.0,20000.0,,NetBanking
Karthik Rao,2023-02-16,Travel,598.0,18000.0,,UPI
Ishita Roy,2023-02-16,Travel,313.0,22000.0,,Card
Pooja Mehta,2023-02-16,Food,362.0,30000.0,,Cash
Swathi Reddy,2023-02-16,Travel,197.0,25000.0,,NetBanking
Ananya Singh,2023-02-16,Utilities,2303.0,30000.0,,UPI
Siddharth Rao,2023-02-16,Travel,457.0,30000.0,,Card
Nisha Sharma,2023-02-16,Miscellaneous,1301.0,18000.0,,Card
Vivek Menon,2023-02-16,Miscellaneous,354.0,18000.0,,UPI
Swathi Reddy,2023-02-16,Travel,152.0,25000.0,,UPI
Amit Sharma,2023-02-17,Groceries,1663.0,20000.0,,NetBanking
